geo_id,geo_level,pop_total,trials_per_100k,coverage_residual,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke,pct_poverty,median_hh_income,gini_index,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed,pct_uninsured,pct_bachelors_plus,endo_per_100k,amc_count,has_ctsa,dist_nearest_trial_km,has_trial_site,county_trial_count,county_site_count,burden_decile,lat,lon,pop,pct_nhwhite,endo_count
30093,county,35306.0,0.0,0.0,10.4,29.1,5.6,26.0,8.7,13.8,10.0,19.2,10.7,8.4,21.3,19.6,32.8,3.0,15.40248116467456,56297.0,0.4963,0.1501161275703846,4.633773296323571,1.8037135278514589,11.39920424403183,4.570140975271551,7.1,27.7,0.0,0,0,92.39225973574491,False,0,0,0,45.98746,-112.525517,35133,89.70713193224948,0
30095,county,8978.0,0.0,0.0,9.4,27.2,4.9,24.7,7.7,10.5,7.1,15.8,9.1,6.9,19.0,17.8,29.9,2.7,7.94163510804188,78380.0,0.4542,0.0891067052795722,4.221430162619737,1.7100762957116549,13.101815311760063,2.629193109700816,4.3,29.3,0.0,0,0,79.37103490803939,False,0,0,0,45.615383,-109.238178,8963,91.73535308531967,0
30097,county,3697.0,0.0,0.0,9.3,27.5,5.0,25.1,7.7,10.9,7.4,15.8,9.4,7.1,19.6,18.4,29.7,2.7,5.923721936705437,64872.0,0.4382,1.5417906410603193,2.299161482282932,2.074688796680498,10.78838174273859,2.1141649048625792,9.2,23.6,0.0,0,0,135.776711599826,False,0,0,0,45.829391,-109.91651,3678,90.96564782255884,0
30099,county,6238.0,0.0,0.0,10.1,28.1,5.4,25.5,8.3,12.6,9.1,17.7,10.3,8.0,21.9,19.2,31.3,2.9,14.203270278935555,65224.0,0.4194,0.8816928502725232,1.795447258736775,2.435064935064935,15.949675324675324,2.0380434782608696,8.5,25.5,0.0,0,0,86.87110053777833,False,0,0,0,47.762524,-112.039341,6226,92.2411029176018,0
30101,county,5018.0,0.0,0.0,13.4,31.4,6.5,23.7,10.3,17.3,13.5,22.2,13.0,10.4,25.9,19.6,35.4,3.6,9.32642487046632,54040.0,0.4295,1.5544041450777202,4.204862495017935,0.724233983286908,7.465181058495822,3.927765237020316,9.3,22.3,0.0,0,0,105.96065511085598,False,0,0,3,48.578065,-111.850473,4971,85.07373455559984,0
30103,county,680.0,0.0,0.0,9.6,28.9,5.3,25.1,8.3,12.4,8.9,17.2,10.3,8.0,20.7,18.4,34.1,2.9,9.852941176470589,70096.0,0.4154,0.0,4.264705882352941,2.702702702702702,9.90990990990991,1.0869565217391304,4.9,32.2,0.0,0,0,153.11917305869852,False,0,0,0,46.247085,-107.247111,762,94.41176470588236,0
30105,county,7552.0,0.0,0.0,9.9,31.4,5.5,25.3,8.6,13.6,9.6,18.4,11.2,8.7,22.3,19.5,33.2,3.1,12.04978813559322,59725.0,0.4085,0.3840042372881356,2.7145127118644066,1.200141193081539,14.15460642428521,4.036494332319602,7.0,19.6,0.0,0,0,351.6693720952343,False,0,0,0,48.236249,-106.541586,7578,84.40148305084746,0
30107,county,2060.0,0.0,0.0,12.3,30.9,6.2,26.8,9.6,16.8,13.0,21.4,12.7,9.8,24.6,20.3,32.3,3.4,22.33009708737864,48272.0,0.5009,2.378640776699029,2.135922330097088,2.5142857142857142,19.88571428571429,0.241254523522316,19.7,20.7,0.0,0,0,162.29008348154673,False,0,0,2,46.454552,-109.845461,2069,93.64077669902912,0
30109,county,1119.0,0.0,0.0,10.1,29.4,5.5,25.9,8.6,13.2,9.6,18.1,10.6,8.2,21.9,19.2,33.1,3.0,17.42627345844504,58750.0,0.4147,0.8936550491510277,7.238605898123325,0.4291845493562232,18.669527896995707,0.0,10.1,22.5,0.0,0,0,349.1714167352664,False,0,0,0,46.969955,-104.191241,937,88.29311885612154,0
31003,county,6302.0,0.0,0.0,9.3,30.6,5.4,18.2,9.6,12.3,9.0,15.5,9.8,6.8,26.0,15.5,43.0,2.8,10.885433195810856,61924.0,0.4084,0.9203427483338624,3.586163122818153,1.6494054468738013,17.836593785960876,2.07269450285371,6.4,20.5,0.0,0,0,68.08654621385065,False,0,0,2,42.147054,-98.057377,6295,94.16058394160584,0
